id,name,sex,class,date,japanese,math,english,science,social,total,average,animal,tea
S0001,伊藤 浩,男,1-C,2024-01,76,83,92,75,75,401,80.2,猫派,玉露
S0002,山下 学,男,1-B,2024-01,100,88,99,89,89,465,93,猫派,玉露
S0003,吉田 治,男,3-A,2024-01,54,56,68,63,76,317,63.4,猫派,抹茶
S0004,渡辺 花子,女,1-A,2024-01,42,71,54,57,42,266,53.2,犬派,抹茶
S0005,鈴木 裕太,男,1-B,2024-01,62,50,65,55,58,290,58,猫派,抹茶
S0006,田中 陽一,男,3-B,2024-01,79,60,50,69,48,306,61.2,犬派,抹茶
S0007,村上 さゆり,女,1-D,2024-01,53,59,75,80,74,341,68.2,犬派,抹茶
S0008,中村 明美,女,1-B,2024-01,65,53,61,63,78,320,64,猫派,抹茶
S0009,清水 桃子,女,2-C,2024-01,57,78,71,68,81,355,71,犬派,抹茶
S0010,三浦 修平,男,1-C,2024-01,94,77,82,88,95,436,87.2,猫派,玉露
S0011,渡辺 稔,男,1-D,2024-01,60,51,50,70,76,307,61.4,猫派,抹茶
S0012,藤井 充,男,2-C,2024-01,78,72,62,72,84,368,73.6,猫派,抹茶
S0013,林 加奈,女,1-D,2024-01,85,43,77,70,66,341,68.2,猫派,抹茶
S0014,遠藤 亮介,男,2-A,2024-01,51,69,74,86,66,346,69.2,犬派,抹茶
S0015,阿部 桃子,女,3-C,2024-01,52,67,61,52,63,295,59,犬派,抹茶
S0016,村上 和也,男,3-A,2024-01,81,64,68,67,56,336,67.2,猫派,抹茶
S0017,森 京助,男,3-B,2024-01,77,74,72,60,70,353,70.6,猫派,抹茶
S0018,佐藤 千代,女,1-B,2024-01,56,63,68,83,66,336,67.2,犬派,抹茶
S0019,高橋 太郎,男,2-C,2024-01,73,54,73,74,98,372,74.4,猫派,抹茶
S0020,森 真綾,女,3-C,2024-01,70,66,55,78,74,343,68.6,犬派,抹茶
S0021,近藤 治,男,2-C,2024-01,72,95,67,87,100,421,84.2,犬派,玉露
S0022,斎藤 太郎,男,3-C,2024-01,49,56,50,39,55,249,49.8,猫派,煎茶
S0023,中川 零,男,3-B,2024-01,58,44,69,46,50,267,53.4,猫派,抹茶
S0024,中島 治,男,1-D,2024-01,69,84,95,66,84,398,79.6,猫派,抹茶
S0025,中川 春香,女,2-B,2024-01,81,61,60,79,76,357,71.4,猫派,抹茶
S0026,中川 幹,女,1-B,2024-01,77,66,76,76,66,361,72.2,猫派,抹茶
S0027,鈴木 翔太,男,2-D,2024-01,100,86,100,88,100,474,94.8,猫派,玉露
S0028,田中 知実,女,1-B,2024-01,79,97,91,95,100,462,92.4,犬派,玉露
S0029,山本 直子,女,1-D,2024-01,58,57,58,65,69,307,61.4,猫派,抹茶
S0030,坂本 千代,女,3-D,2024-01,82,74,88,71,100,415,83,猫派,玉露
S0031,山崎 修平,男,2-B,2024-01,70,68,84,77,86,385,77,猫派,抹茶
S0032,山崎 稔,男,3-C,2024-01,76,68,61,72,85,362,72.4,猫派,抹茶
S0033,斎藤 春香,女,3-D,2024-01,60,74,77,64,74,349,69.8,猫派,抹茶
S0034,山口 真綾,女,1-B,2024-01,59,74,76,81,81,371,74.2,犬派,抹茶
S0035,森 加奈,女,1-A,2024-01,39,54,54,54,87,288,57.6,猫派,抹茶
S0036,田中 聡太郎,男,1-B,2024-01,89,88,85,75,86,423,84.6,猫派,玉露
S0037,井上 美加子,女,3-A,2024-01,56,53,59,81,39,288,57.6,犬派,抹茶
S0038,太田 香織,女,2-D,2024-01,64,75,91,80,69,379,75.8,犬派,抹茶
S0039,井上 加奈,女,3-A,2024-01,66,51,61,59,52,289,57.8,猫派,抹茶
S0040,山口 陽一,男,3-C,2024-01,100,81,100,95,100,476,95.2,猫派,玉露
S0041,田中 千代,女,1-C,2024-01,56,63,66,46,54,285,57,猫派,抹茶
S0042,中島 結衣,女,1-D,2024-01,56,80,66,50,72,324,64.8,犬派,抹茶
S0043,山田 裕樹,男,3-C,2024-01,100,86,96,100,94,476,95.2,猫派,玉露
S0044,鈴木 淳,男,3-A,2024-01,84,67,76,44,66,337,67.4,猫派,抹茶
S0045,鈴木 あすか,女,3-B,2024-01,53,82,51,61,67,314,62.8,犬派,抹茶
S0046,伊藤 充,男,2-B,2024-01,77,100,91,81,96,445,89,犬派,玉露
S0047,渡辺 裕太,男,3-C,2024-01,66,73,69,74,79,361,72.2,犬派,抹茶
S0048,斉藤 あすか,女,1-A,2024-01,81,100,74,92,99,446,89.2,犬派,玉露
S0049,山口 春香,女,2-B,2024-01,67,72,69,68,82,358,71.6,猫派,抹茶
S0050,高橋 翼,男,1-A,2024-01,68,84,78,83,81,394,78.8,犬派,抹茶
S0051,鈴木 涼平,男,3-D,2024-01,51,65,63,57,58,294,58.8,犬派,抹茶
S0052,中村 拓真,男,3-B,2024-01,83,94,87,86,100,450,90,猫派,玉露
S0053,佐藤 裕樹,男,3-D,2024-01,90,95,82,89,79,435,87,犬派,玉露
S0054,三浦 和也,男,2-D,2024-01,73,75,80,66,95,389,77.8,猫派,抹茶
S0055,林 健一,男,3-B,2024-01,42,66,62,61,61,292,58.4,犬派,抹茶
S0056,鈴木 裕美子,女,2-C,2024-01,60,70,63,79,68,340,68,犬派,抹茶
S0057,小林 知実,女,3-D,2024-01,54,61,51,49,60,275,55,猫派,抹茶
S0058,佐藤 裕樹,男,1-B,2024-01,68,68,75,59,59,329,65.8,猫派,抹茶
S0059,井上 太一,男,2-A,2024-01,57,62,73,67,57,316,63.2,犬派,抹茶
S0060,太田 拓真,男,3-B,2024-01,59,69,66,72,61,327,65.4,犬派,抹茶
S0061,伊藤 零,男,1-A,2024-01,93,76,81,84,73,407,81.4,猫派,玉露
S0062,伊藤 翔太,男,1-A,2024-01,73,74,65,73,78,363,72.6,犬派,抹茶
S0063,山田 花子,女,1-B,2024-01,100,100,84,100,93,477,95.4,犬派,玉露
S0064,中村 七夏,女,3-D,2024-01,94,94,96,81,97,462,92.4,猫派,玉露
S0065,橋本 智也,男,3-B,2024-01,60,62,77,68,52,319,63.8,犬派,抹茶
S0066,佐藤 舞,女,1-D,2024-01,61,43,74,68,51,297,59.4,猫派,抹茶
S0067,伊藤 くみ子,女,1-A,2024-01,57,43,56,28,38,222,44.4,猫派,煎茶
S0068,中村 学,男,3-D,2024-01,70,65,76,59,68,338,67.6,猫派,抹茶
S0069,山崎 桃子,女,2-D,2024-01,76,78,60,56,84,354,70.8,猫派,抹茶
S0070,中川 春香,女,3-A,2024-01,67,90,76,86,75,394,78.8,犬派,抹茶
S0071,斎藤 康弘,男,1-D,2024-01,100,98,100,100,100,498,99.6,猫派,玉露
